login_date,product,parameter,value,unit,lcl,ucl,minimum,maximum,in_control
2024-09-01 00:00:00,製品0,FlowRate_L_min,107.16,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 00:10:00,製品0,FlowRate_L_min,106.11,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 00:20:00,製品0,FlowRate_L_min,93.19,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 00:30:00,製品0,FlowRate_L_min,103.37,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 00:40:00,製品0,FlowRate_L_min,94.98,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 00:50:00,製品0,FlowRate_L_min,97.74,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 01:00:00,製品0,FlowRate_L_min,109.02,L/min,92.03,108.031,85.5,115.5,False
2024-09-01 01:10:00,製品0,FlowRate_L_min,102.66,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 01:20:00,製品0,FlowRate_L_min,109.97,L/min,92.03,108.031,85.5,115.5,False
2024-09-01 01:30:00,製品0,FlowRate_L_min,99.08,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 01:40:00,製品0,FlowRate_L_min,93.13,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 01:50:00,製品0,FlowRate_L_min,96.46,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 02:00:00,製品0,FlowRate_L_min,96.27,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 02:10:00,製品0,FlowRate_L_min,100.63,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 02:20:00,製品0,FlowRate_L_min,94.39,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 02:30:00,製品0,FlowRate_L_min,101.76,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 02:40:00,製品0,FlowRate_L_min,101.48,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 02:50:00,製品0,FlowRate_L_min,97.71,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 03:00:00,製品0,FlowRate_L_min,95.79,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 03:10:00,製品0,FlowRate_L_min,95.61,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 03:20:00,製品0,FlowRate_L_min,109.91,L/min,92.03,108.031,85.5,115.5,False
2024-09-01 03:30:00,製品0,FlowRate_L_min,107.28,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 03:40:00,製品0,FlowRate_L_min,103.91,L/min,92.03,108.031,85.5,115.5,True
2024-09-01 03:50:00,製品0,FlowRate_L_min,101.75,L/min,92.03,108.031,85.5,115.5,True
